high low span,volume change,open less than close,to buy
0.011165452,-0.446413089,1,0
0.008547009,-0.065438064,1,0
0.010555556,-0.096078411,0,0
0.010006486,0.126471293,1,0
0.006100943,-0.472876033,1,0
0.013335769,0.278634481,0,0
0.009325288,0.234542638,1,0
0.009430507,-0.332800126,0,0
0.005317198,-0.153346306,1,0
0.012161668,0.133371153,1,0
0.011519676,0.017511773,0,0
0.007257694,-0.214631294,1,0
0.009904656,0.102107866,1,0
0.011155527,0.056252613,1,0
0.015335702,0.096521462,1,0
0.010765774,-0.111972664,1,0
0.009433962,-0.004277479,1,0
0.008764373,0.161769109,0,0
0.011055936,-0.110888169,0,0
0.010953309,0.003765589,0,0
0.00733519,0.002899549,0,0
0.015596161,0.365494692,1,0
0.019238059,0.200703611,1,0
0.025113934,-0.138433409,1,1
0.030254173,-0.027912049,0,1
0.014358499,0.271541566,0,1
0.039634965,0.446537173,0,1
0.019382193,-0.239779044,1,0
0.018186565,-0.134268128,0,0
0.025796795,-0.698888477,1,0
0.014176279,-0.36242335,0,0
0.013632761,0.041355119,0,0
0.008201012,-0.158627906,1,0
0.02874634,0.40790201,1,0
0.016300496,-0.757018126,0,0
0.007427712,-0.213839229,0,0
0.010618692,0.169820808,1,0
0.01782849,0.174043713,0,0
0.01388766,0.013527435,1,0
0.006843228,-0.676320538,0,0
0.014867257,0.270206127,0,0
0.008580274,-0.386133018,0,0
0.010624287,0.254565632,0,0
0.009205681,-0.181492306,0,0
0.01749246,0.327782521,0,0
0.021410146,0.434176049,0,0
0.010482359,-0.703817967,1,0
0.014703368,-0.068036866,0,0
0.008841282,0.012896402,1,0
0.009017439,-0.509094093,0,0
0.006469737,0.037818756,1,0
0.033811475,-0.225554059,1,0
0.008969759,0.16957808,1,0
0.005403087,-0.0402341,0,0
0.006289843,0.014699554,0,0
0.008879493,0.510925062,1,0
0.020676529,0.272253143,1,0
0.015373864,-0.913492648,1,0
0.015476609,0.087149291,1,0
0.009071693,-0.43310086,1,0
0.029060902,0.397172652,1,0
0.010036742,-0.546882047,1,0
0.017390513,-0.051948453,1,0
0.019661889,0.126613983,0,0
0.009510008,0.052917783,1,0
0.018188367,-0.342449068,1,0
0.029491342,0.590137369,0,0
0.04879859,-0.035737051,1,0
0.021396293,-0.673345586,1,0
0.035275754,0.332807782,0,0
0.014197554,-0.586123701,1,1
0.033003,0.451661731,1,0
0.013824466,-1.129433831,1,0
0.007995639,0.02803181,0,0
0.017721292,0.028555143,0,0
0.009123435,-0.127054464,1,0
0.010608649,0.053264749,1,0
0.008229716,-1.389907669,1,0
0.009635207,0.57799775,1,0
0.017584784,0.046786733,0,0
0.017462903,0.211090469,1,0
0.017444515,0.024930769,1,0
0.011282985,-0.398027224,0,0
0.016313812,0.227141952,0,0
0.010641201,-0.310323903,1,0
0.018283347,0.126780647,1,0
0.016321798,-0.108259524,0,0
0.020974111,0.213190435,1,0
0.022153575,-0.304395816,0,0
0.018838441,0.396933942,1,0
0.010591197,-0.285085341,0,0
0.012951131,0.268518698,0,0
0.007372596,-0.049004609,1,0
0.013974623,-0.596546264,0,0
0.007011543,-0.29659129,1,0
0.005296429,0.099154171,1,0
0.007481297,0.088273476,1,0
0.007981462,-0.830652535,0,0
0.011171755,0.22120583,0,0
0.01555841,0.124799124,1,0
0.006078129,-0.390063871,1,0
0.015282335,0.508291745,1,0
0.013517004,-0.062692254,1,0
0.006550595,-0.362899276,1,0
0.009040391,0.048458638,0,0
0.014332966,0.301031214,0,0
0.012522061,0.053931554,1,0
0.009067249,-0.372000573,1,0
0.011106472,0.113327345,1,0
0.009140461,-0.01854718,1,0
0.006804435,-0.037311349,1,0
0.016833333,0.2418099,0,0
0.006583882,-0.452363667,1,0
0.00601102,0.073614431,0,0
0.005961667,0.214756249,0,0
0.008660893,-0.478347833,1,0
0.00500125,0.050011551,0,0
0.014932721,0.287713784,1,0
0.006888634,-0.237269254,0,0
0.006150062,-0.280827103,1,0
0.007975006,0.32308643,1,0
0.006345282,0.382583539,0,1
0.027029126,0.560646735,1,0
0.012526258,-2.321971957,1,0
0.007979548,-0.375525236,0,0
0.012280298,0.087112777,0,0
0.012468638,0.296929714,1,0
0.007573463,-0.65987313,1,0
0.010006041,0.188564853,0,0
0.0067363,-0.412868772,0,0
0.008027609,0.128930268,0,0
0.013627611,0.306709613,0,0
0.012176223,0.067284346,0,0
0.007833315,-0.577321315,1,0
0.005378721,-0.017404927,0,0
0.005632772,0.094215706,1,0
0.007366348,-0.176140326,0,0
0.008642789,-0.00234489,1,0
0.010098054,0.045388154,0,0
0.008434967,-0.074992697,0,0
0.005365355,0.13735269,0,0
0.018277416,0.355124876,0,0
0.010928325,-0.389287216,1,0
0.008871083,-0.215096054,1,0
0.008426152,0.008226328,1,0
0.008529243,-0.246685414,1,0
0.00705036,0.067403811,1,0
0.01254687,0.155654583,0,0
0.005153802,-0.129665467,1,0
0.004382184,-0.125767397,0,0
0.005827757,-0.138000067,0,0
0.012281788,0.404125811,0,0
0.005401948,-0.33588689,0,0
0.007929138,0.561763267,0,0
0.008977803,-1.037177355,0,0
0.021953661,0.455044625,0,0
0.01301089,-0.528602466,1,0
0.006914561,-0.271000807,0,0
0.00988339,0.091503036,1,0
0.018455423,0.050032929,0,0
0.023783032,0.293626015,1,0
0.009020261,-0.1433661,0,0
0.006947822,-0.376413832,1,0
0.008770709,-0.07860993,0,0
0.007446068,0.016214732,1,0
0.011880915,-0.00474377,1,0
0.011456742,0.28236313,0,0
0.007448141,-0.310596692,0,0
0.006348542,-0.269560849,0,0
0.006839422,0.120150335,1,0
0.023229542,0.376768074,1,0
0.008039492,-0.492844029,0,0
0.00942928,-0.141790777,0,0
0.007121201,-0.074826858,1,0
0.006586402,-0.128222103,0,0
0.011017913,0.151822141,0,0
0.01235608,0.256916789,0,0
0.005833978,-0.346322899,0,0
0.005360624,-0.011937477,0,0
0.007126548,0.060377937,1,0
0.008517539,0.071265145,0,0
0.005911399,-0.406144894,0,0
0.007170205,0.311065779,0,0
0.015281757,0.383060573,0,0
0.008474002,0.174426271,1,0
0.021895825,0.119401882,1,0
0.00907664,-0.93948304,0,0
0.01490333,0.13109426,0,1
0.030520881,0.445846157,0,0
0.009286317,-0.344906376,1,0
0.011940493,-0.400147898,1,0
0.011432283,-0.002881975,0,0
