,time,ema(4),high low span,high above ema,close above ema,close relative to high,volume change,volume relative to span,to buy,Prediction
4825,0.58,0.996286735,0.005336122,0.004769817,0.003713265,0.0010565519999999999,0.31137832600000004,0.017137103,0.0042582259999999995,0.003310570886666667
4826,0.59,0.9958832959999999,0.005319262,0.005201834000000001,0.0041167040000000005,0.001085129,-0.121851957,-0.043653480999999994,0.005340539,0.0014238457666666663
4827,0.6,0.9959323379999999,0.006366048000000001,0.006720182,0.0040676620000000005,0.00265252,0.144197984,0.044147966,0.00265252,0.002455031346825397
4828,0.61,0.996609891,0.00529661,0.004449430999999999,0.003390109,0.001059322,-0.331305623,-0.015987082,0.003177966,0.0024132853166666667
4829,0.63,0.9963865209999999,0.0031695720000000003,0.004141741,0.003613479,0.0005282619999999999,0.18491565199999999,0.017140637,0.005810882,0.004518729441666668
4830,0.64,0.9968922720000001,0.006329181,0.00733773,0.0031077279999999997,0.004230002,0.584372302,0.010830734,0.0047574340000000005,0.003853810386111111
4831,0.65,0.995615907,0.005777310999999999,0.004909303,0.0043840929999999995,0.00052521,-0.75236864,-0.00767883,0.004201681,0.0012608846450000001
4832,0.66,0.99549299,0.005235602,0.00555413,0.00450701,0.00104712,0.265263562,0.019737359,0.004188482,0.0023151824299999994
4833,0.44,1.002593458,0.0046728970000000005,0.0020794389999999998,-0.002593458,0.0046728970000000005,0.08731178199999999,0.053519662999999995,0.001038422,0.0021170121781818184
4834,0.45,1.00206874,0.002078613,-0.000177202,-0.00206874,0.001891538,-1.117738097,-0.00185966,0.001891538,0.0012719307159265467
4835,0.46,1.00041754,0.002075765,0.000101401,-0.00041754,0.000518941,0.277352747,0.007484207,0.00363259,0.0033187384916666665
4836,0.47,0.999740107,0.005185001,0.003039053,0.000259893,0.00277916,0.235901301,0.021979535,0.00070516,0.0015411585429870131
4837,0.48,1.0022297009999999,0.007287871,0.002455359,-0.002229701,0.00468506,0.148700796,0.049010302,0.000520562,0.0015101812467521367
4838,0.49,1.002592568,0.00312989,1.57e-05,-0.002592568,0.002608242,-0.307461444,-0.010179782,0.005738132,0.0020782938199999995
4839,0.5,0.99812343,0.0062240659999999995,0.00187657,0.00187657,0.0,0.22810304899999997,0.027286203999999998,0.0031120329999999997,0.002780738566666667
4840,0.51,0.9970161240000001,0.004136505,0.002983876,0.002983876,0.0,-0.731142568,-0.00565759,0.001034126,0.0008015502191269841
4841,0.52,0.9985191459999999,0.003103983,0.003032845,0.001480854,0.001551992,0.642919071,0.004827954000000001,0.001551992,0.0008126542588203463
